Strain,BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,STREPTOTHRICIN,TRIMETHOPRIM,QUATERNARY AMMONIUM,BLEOMYCIN,MACROLIDE/STREPTOGRAMIN,MACROLIDE,TETRACYCLINE,PHENICOL,RIFAMYCIN,FOSFOMYCIN,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,QUINOLONE,AMINOGLYCOSIDE/QUINOLONE,LINCOSAMIDE,COLISTIN,GLYCOPEPTIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/MACROLIDE,PHENICOL/QUINOLONE,FUSIDIC ACID,MUPIROCIN,Total_Classes,MDR
Acinetobacter_UC23022,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yes
Acinetobacter_AB30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_AF-401,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_D4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yes
Acinetobacter_AC1633,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Yes
Acinetobacter_AB17,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Yes
Acinetobacter_6080,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yes
Acinetobacter_XH1056,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Yes
Acinetobacter_7804,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_MRSN_58,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Yes
Acinetobacter_BAL114,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Yes
Acinetobacter_361BC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_ATCC_19606,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_169D,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_AR_0101,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_DETAB-E51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Acinetobacter_VB82,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Yes
Acinetobacter_96,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Yes
Acinetobacter_XH858,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yes
Acinetobacter_XH1041,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yes
Enterobacter_3143,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_ATCC_13047,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,Yes
Enterobacter_STK49-C,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_STK71-C,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_CZ862,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,Yes
Enterobacter_EFN743,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,11,Yes
Enterobacter_CZ-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_SBP-8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_E177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Enterobacter_POL9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_STK39-C,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_53EVA,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,Yes
Enterobacter_ECC-003,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,Yes
Enterobacter_GGT036,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_ECC-068,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_SD21,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,13,Yes
Enterobacter_SDM,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,Yes
Enterobacter_GX1Z-1L,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,9,Yes
Enterobacter_MY490,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,Yes
Enterobacter_DSM_30054,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,Yes
