Species,Metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Acinetobacter,Total_Contigs,20,0.12,0.6134105995872701,-0.004,0.9869655554763852
Acinetobacter,Contig_N50,20,0.847,2.511570503327666e-06,0.74,0.00019241032720557417
Enterobacter,Total_Contigs,20,0.675,0.0010992633288672213,0.734,0.00022696375788473644
Enterobacter,Contig_N50,20,0.815,1.2117922733040037e-05,0.731,0.00025215134150965545
Enterococcus,Total_Contigs,20,0.664,0.0014127233512550858,0.45,0.046699769410339806
Enterococcus,Contig_N50,20,0.817,1.0912054552921198e-05,0.572,0.008458762002926955
Klebsiella,Total_Contigs,20,0.398,0.08263809420081124,0.345,0.13626577897666686
Klebsiella,Contig_N50,20,0.14,0.5557464531603511,0.018,0.9398091995407436
Pseudomonas,Total_Contigs,20,0.215,0.36318361268010957,0.203,0.3902317945667112
Pseudomonas,Contig_N50,20,0.988,6.169728584775689e-16,0.856,1.5129652137091274e-06
Staphylococcus,Total_Contigs,20,0.341,0.14136630469866443,0.159,0.5024423180600324
Staphylococcus,Contig_N50,20,0.945,3.872311995021949e-10,0.844,2.869374968396998e-06
