Species,Name,NCBI_Accession,NCBI_Assembly,URL
Acinetobacter,169D,GCF_051294805.1,ASM5129480v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051294805.1/
Acinetobacter,361BC,GCF_051294735.1,ASM5129473v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051294735.1/
Acinetobacter,6080,GCF_023360975.1,ASM2336097v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_023360975.1/
Acinetobacter,7804,GCF_003431385.1,ASM343138v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003431385.1/
Acinetobacter,96,GCF_029674685.1,ASM2967468v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_029674685.1/
Acinetobacter,AB17,GCF_051397055.1,ASM5139705v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051397055.1/
Acinetobacter,AB30,GCF_000746645.1,ASM74664v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000746645.1/
Acinetobacter,AC1633,GCF_014874575.1,ASM1487457v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_014874575.1/
Acinetobacter,AF-401,GCF_001896005.1,ASM189600v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001896005.1/
Acinetobacter,AR_0101,GCF_003010675.1,ASM301067v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003010675.1/
Acinetobacter,ATCC_19606,GCF_009035845.1,ASM903584v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009035845.1/
Acinetobacter,BAL114,GCF_046097545.1,BAL114 Hybrid assembly,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_046097545.1/
Acinetobacter,DETAB-E51,GCF_023517195.1,ASM2351719v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_023517195.1/
Acinetobacter,MRSN_58,GCF_021484905.1,ASM2148490v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_021484905.1/
Acinetobacter,UC23022,GCF_024139035.1,ASM2413903v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024139035.1/
Acinetobacter,VB82,GCF_012934905.1,ASM1293490v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_012934905.1/
