Name,Species,Accessory_Count,Total_Contigs,Contig_N50
169D,Acinetobacter,1447,3,4157127
361BC,Acinetobacter,1443,4,4151484
6080,Acinetobacter,1500,1,4237035
7804,Acinetobacter,1580,3,4159217
96,Acinetobacter,1436,2,4155182
AB17,Acinetobacter,1358,4,4178746
AB30,Acinetobacter,1672,1,4335793
AC1633,Acinetobacter,1720,5,4364474
AF-401,Acinetobacter,1476,2,4250048
AR_0101,Acinetobacter,1467,2,4233827
ATCC_19606,Acinetobacter,1143,3,3981941
BAL114,Acinetobacter,1421,2,4190510
D4,Acinetobacter,1459,3,4173759
DETAB-E51,Acinetobacter,1456,2,4202756
MRSN_58,Acinetobacter,1486,1,4264976
UC23022,Acinetobacter,1464,2,4205863
VB82,Acinetobacter,1613,3,4210906
XH1041,Acinetobacter,1394,2,4150573
XH1056,Acinetobacter,1425,1,4205854
XH858,Acinetobacter,1346,1,4172609
3143,Enterobacter,3150,3,4944105
53EVA,Enterobacter,3318,4,4815571
ATCC_13047,Enterobacter,3772,3,5314265
CZ-1,Enterobacter,2901,1,4792737
CZ862,Enterobacter,3723,5,5419017
DSM_30054,Enterobacter,3841,3,5316635
E177,Enterobacter,2524,1,4557402
ECC-003,Enterobacter,3265,5,5036527
ECC-068,Enterobacter,3286,2,5120482
EFN743,Enterobacter,3481,4,5350777
GGT036,Enterobacter,2877,1,4848754
GX1Z-1L,Enterobacter,3242,2,4798859
MY490,Enterobacter,3704,3,5095077
POL9,Enterobacter,3156,3,4961034
SBP-8,Enterobacter,2546,1,4854065
SD21,Enterobacter,3215,5,4746662
SDM,Enterobacter,2983,1,4968248
STK39-C,Enterobacter,2810,1,4873501
STK49-C,Enterobacter,2787,2,4796447
STK71-C,Enterobacter,2922,1,4924798
2014-VREF-41,Enterococcus,1664,5,3009007
2016,Enterococcus,1680,8,2974033
2016C08,Enterococcus,1651,9,2943999
6E6,Enterococcus,1835,3,2966909
AA620,Enterococcus,1615,6,2990066
AA622,Enterococcus,1759,7,3019093
AUS2002,Enterococcus,1666,5,2972427
Com15,Enterococcus,649,1,2696561
DSM_20477,Enterococcus,1049,2,2529607
Dallas_100_1,Enterococcus,1616,7,2963589
Dallas_144_1,Enterococcus,1612,8,2977402
E1,Enterococcus,1566,5,2933268
EF9953,Enterococcus,1686,5,2915287
ISMMS_VRE_1,Enterococcus,1666,6,3130373
JHP80,Enterococcus,1551,3,2921286
NY11066,Enterococcus,1575,6,2929543
SRR24,Enterococcus,1323,2,2796178
UCH1,Enterococcus,1691,8,2977510
VRE,Enterococcus,1774,6,3029645
VRE_04,Enterococcus,1789,7,2929959
3347689I,Klebsiella,1497,4,5620512
5890,Klebsiella,1437,4,5610859
Bio3,Klebsiella,1603,2,5730602
Bio45,Klebsiella,1622,2,5738212
Bio73,Klebsiella,1617,2,5737285
CRKP-C235,Klebsiella,1396,3,5657274
DD02425,Klebsiella,1577,3,5785925
HS11286,Klebsiella,1368,7,5333942
IM007,Klebsiella,1667,5,5602064
IM029,Klebsiella,1346,2,5626241
KP144,Klebsiella,1400,4,5623756
KP1517,Klebsiella,1465,4,5621372
KP18-2050,Klebsiella,1599,5,5628504
KP18-2073,Klebsiella,1582,5,5629305
KP2010,Klebsiella,1505,4,5661434
NK-603,Klebsiella,1785,6,5596312
QD23,Klebsiella,1412,1,5803733
TH12908,Klebsiella,1151,1,5692842
XHKPN391,Klebsiella,1326,4,5633245
hvKP340,Klebsiella,1658,8,5652416
2868,Pseudomonas,1716,1,7262764
59,Pseudomonas,1941,4,7299968
A31005,Pseudomonas,1764,1,7222077
AR_0353,Pseudomonas,1740,2,7240677
C4.2,Pseudomonas,1849,1,7345639
CH1,Pseudomonas,1805,1,7330817
Carb01_63,Pseudomonas,2009,1,7497593
DSM_50071,Pseudomonas,732,1,6317050
JBPA,Pseudomonas,1838,1,7352680
NY4383,Pseudomonas,1825,1,7316070
NY5524,Pseudomonas,1808,3,7263713
PA14,Pseudomonas,900,1,6537648
PA6567,Pseudomonas,1612,1,7226944
PAC1,Pseudomonas,2002,1,7564383
PAO1,Pseudomonas,673,1,6264404
Pa1207,Pseudomonas,1907,1,7411863
Pa3,Pseudomonas,1634,1,7223955
Pa58,Pseudomonas,1732,1,7241575
SS-209,Pseudomonas,1653,1,7225155
p55,Pseudomonas,1809,1,7209899
2010N21-057,Staphylococcus,707,2,2986689
ATCC_12600,Staphylococcus,409,2,2755072
BPH2947,Staphylococcus,777,3,3049603
CUBIST-27,Staphylococcus,832,2,3042470
DSM_20231,Staphylococcus,382,1,2755077
FDAARGOS_773,Staphylococcus,410,3,2755072
Gv51,Staphylococcus,703,2,2987124
Gv88,Staphylococcus,708,2,2988028
IDSA1,Staphylococcus,823,1,3096213
M48,Staphylococcus,792,1,3050015
MRSA107,Staphylococcus,822,1,3095697
NCTC_8325,Staphylococcus,510,1,2821361
SA0413Rev,Staphylococcus,716,4,2993466
TUM,Staphylococcus,735,1,3066291
Taliyah,Staphylococcus,976,7,3043269
V521,Staphylococcus,864,2,3085555
V605,Staphylococcus,865,2,3089367
Z0118SA0043,Staphylococcus,667,2,2993066
Z0118SA0044,Staphylococcus,665,2,2993066
Zed,Staphylococcus,814,5,3048932
