Strain,Species,VF_Count
Acinetobacter_169D,Acinetobacter,121
Acinetobacter_361BC,Acinetobacter,121
Acinetobacter_6080,Acinetobacter,136
Acinetobacter_7804,Acinetobacter,133
Acinetobacter_96,Acinetobacter,131
Acinetobacter_AB17,Acinetobacter,125
Acinetobacter_AB30,Acinetobacter,136
Acinetobacter_AC1633,Acinetobacter,121
Acinetobacter_AF-401,Acinetobacter,124
Acinetobacter_AR_0101,Acinetobacter,126
Acinetobacter_ATCC_19606,Acinetobacter,122
Acinetobacter_BAL114,Acinetobacter,121
Acinetobacter_D4,Acinetobacter,133
Acinetobacter_DETAB-E51,Acinetobacter,134
Acinetobacter_MRSN_58,Acinetobacter,131
Acinetobacter_UC23022,Acinetobacter,131
Acinetobacter_VB82,Acinetobacter,134
Acinetobacter_XH1041,Acinetobacter,139
Acinetobacter_XH1056,Acinetobacter,140
Acinetobacter_XH858,Acinetobacter,140
Enterobacter_3143,Enterobacter,121
Enterobacter_53EVA,Enterobacter,107
Enterobacter_ATCC_13047,Enterobacter,126
Enterobacter_CZ-1,Enterobacter,115
Enterobacter_CZ862,Enterobacter,87
Enterobacter_DSM_30054,Enterobacter,126
Enterobacter_E177,Enterobacter,125
Enterobacter_ECC-003,Enterobacter,114
Enterobacter_ECC-068,Enterobacter,125
Enterobacter_EFN743,Enterobacter,135
Enterobacter_GGT036,Enterobacter,111
Enterobacter_GX1Z-1L,Enterobacter,114
Enterobacter_MY490,Enterobacter,124
Enterobacter_POL9,Enterobacter,121
Enterobacter_SBP-8,Enterobacter,105
Enterobacter_SD21,Enterobacter,121
Enterobacter_SDM,Enterobacter,115
Enterobacter_STK39-C,Enterobacter,113
Enterobacter_STK49-C,Enterobacter,112
Enterobacter_STK71-C,Enterobacter,115
Enterococcus_2014-VREF-41,Enterococcus,19
Enterococcus_2016,Enterococcus,24
Enterococcus_2016C08,Enterococcus,25
Enterococcus_6E6,Enterococcus,26
Enterococcus_AA620,Enterococcus,23
Enterococcus_AA622,Enterococcus,24
Enterococcus_AUS2002,Enterococcus,26
Enterococcus_Com15,Enterococcus,14
Enterococcus_DSM_20477,Enterococcus,22
Enterococcus_Dallas_100_1,Enterococcus,25
Enterococcus_Dallas_144_1,Enterococcus,24
Enterococcus_E1,Enterococcus,24
Enterococcus_EF9953,Enterococcus,20
Enterococcus_ISMMS_VRE_1,Enterococcus,24
Enterococcus_JHP80,Enterococcus,18
Enterococcus_NY11066,Enterococcus,19
Enterococcus_SRR24,Enterococcus,19
Enterococcus_UCH1,Enterococcus,23
Enterococcus_VRE,Enterococcus,24
Enterococcus_VRE_04,Enterococcus,22
Klebsiella_3347689I,Klebsiella,138
Klebsiella_5890,Klebsiella,115
Klebsiella_Bio3,Klebsiella,138
Klebsiella_Bio45,Klebsiella,138
Klebsiella_Bio73,Klebsiella,137
Klebsiella_CRKP-C235,Klebsiella,136
Klebsiella_DD02425,Klebsiella,138
Klebsiella_HS11286,Klebsiella,142
Klebsiella_IM007,Klebsiella,153
Klebsiella_IM029,Klebsiella,144
Klebsiella_KP144,Klebsiella,134
Klebsiella_KP1517,Klebsiella,145
Klebsiella_KP18-2050,Klebsiella,136
Klebsiella_KP18-2073,Klebsiella,140
Klebsiella_KP2010,Klebsiella,142
Klebsiella_NK-603,Klebsiella,152
Klebsiella_QD23,Klebsiella,118
Klebsiella_TH12908,Klebsiella,170
Klebsiella_XHKPN391,Klebsiella,140
Klebsiella_hvKP340,Klebsiella,142
Pseudomonas_2868,Pseudomonas,395
Pseudomonas_59,Pseudomonas,380
Pseudomonas_A31005,Pseudomonas,374
Pseudomonas_AR_0353,Pseudomonas,382
Pseudomonas_C4.2,Pseudomonas,374
Pseudomonas_CH1,Pseudomonas,392
Pseudomonas_Carb01_63,Pseudomonas,396
Pseudomonas_DSM_50071,Pseudomonas,390
Pseudomonas_JBPA,Pseudomonas,375
Pseudomonas_NY4383,Pseudomonas,381
Pseudomonas_NY5524,Pseudomonas,396
Pseudomonas_PA14,Pseudomonas,397
Pseudomonas_PA6567,Pseudomonas,388
Pseudomonas_PAC1,Pseudomonas,396
Pseudomonas_PAO1,Pseudomonas,396
Pseudomonas_Pa1207,Pseudomonas,381
Pseudomonas_Pa3,Pseudomonas,393
Pseudomonas_Pa58,Pseudomonas,378
Pseudomonas_SS-209,Pseudomonas,377
Pseudomonas_p55,Pseudomonas,383
Staphylococcus_2010N21-057,Staphylococcus,118
Staphylococcus_ATCC_12600,Staphylococcus,131
Staphylococcus_BPH2947,Staphylococcus,122
Staphylococcus_CUBIST-27,Staphylococcus,131
Staphylococcus_DSM_20231,Staphylococcus,131
Staphylococcus_FDAARGOS_773,Staphylococcus,131
Staphylococcus_Gv51,Staphylococcus,119
Staphylococcus_Gv88,Staphylococcus,119
Staphylococcus_IDSA1,Staphylococcus,118
Staphylococcus_M48,Staphylococcus,121
Staphylococcus_MRSA107,Staphylococcus,123
Staphylococcus_NCTC_8325,Staphylococcus,127
Staphylococcus_SA0413Rev,Staphylococcus,130
Staphylococcus_TUM,Staphylococcus,132
Staphylococcus_Taliyah,Staphylococcus,117
Staphylococcus_V521,Staphylococcus,122
Staphylococcus_V605,Staphylococcus,122
Staphylococcus_Z0118SA0043,Staphylococcus,115
Staphylococcus_Z0118SA0044,Staphylococcus,115
Staphylococcus_Zed,Staphylococcus,118
