Strain,AMR_gene,Locus_tag,Category
Acinetobacter_UC23022,blaOXA-65,EGMKDJLJ_00758,Core
Acinetobacter_UC23022,aph(3')-VIa,EGMKDJLJ_00823,Accessory
Acinetobacter_UC23022,blaADC-263,EGMKDJLJ_02044,Core
Acinetobacter_UC23022,blaOXA-23,EGMKDJLJ_02819,Accessory
Acinetobacter_UC23022,sul2,EGMKDJLJ_02877,Accessory
Acinetobacter_UC23022,aph(6)-Id,EGMKDJLJ_02886,Accessory
Acinetobacter_UC23022,aph(3'')-Ib,EGMKDJLJ_02887,Accessory
Acinetobacter_UC23022,aadA1,EGMKDJLJ_03059,Accessory
Acinetobacter_UC23022,sat2,EGMKDJLJ_03060,Accessory
Acinetobacter_UC23022,dfrA1,EGMKDJLJ_03061,Accessory
Acinetobacter_UC23022,blaTEM-1,EGMKDJLJ_03065,Accessory
Acinetobacter_UC23022,ant(3'')-IIa,EGMKDJLJ_03298,Core
Acinetobacter_AB30,blaOXA-65,ICNOOHHG_00502,Core
Acinetobacter_AB30,blaADC,ICNOOHHG_01693,Core
Acinetobacter_AB30,aac(3)-IIe,ICNOOHHG_02522,Accessory
Acinetobacter_AB30,blaTEM-1,ICNOOHHG_02523,Accessory
Acinetobacter_AB30,aac(6')-Ian,ICNOOHHG_02525,Accessory
Acinetobacter_AB30,sul2,ICNOOHHG_02603,Accessory
Acinetobacter_AB30,aph(6)-Id,ICNOOHHG_02614,Accessory
Acinetobacter_AB30,aph(3'')-Ib,ICNOOHHG_02615,Accessory
Acinetobacter_AB30,ant(3'')-IIa,ICNOOHHG_03017,Core
Acinetobacter_AB30,blaOXA-23,ICNOOHHG_03330,Accessory
Acinetobacter_AB30,blaOXA-23,ICNOOHHG_04331,Accessory
Acinetobacter_AF-401,aph(3'')-Ib,NBKFELJD_00263,Accessory
Acinetobacter_AF-401,aph(6)-Id,NBKFELJD_00264,Accessory
Acinetobacter_AF-401,aac(3)-IIe,NBKFELJD_00276,Accessory
Acinetobacter_AF-401,blaTEM-1,NBKFELJD_00277,Accessory
Acinetobacter_AF-401,aac(6')-Ian,NBKFELJD_00279,Accessory
Acinetobacter_AF-401,sul2,NBKFELJD_00283,Accessory
Acinetobacter_AF-401,blaOXA-235,NBKFELJD_00294,Accessory
Acinetobacter_AF-401,blaADC-5,NBKFELJD_01161,Core
Acinetobacter_AF-401,blaOXA-65,NBKFELJD_02426,Core
Acinetobacter_AF-401,ant(3'')-IIa,NBKFELJD_03986,Core
Acinetobacter_AF-401,blaOXA-235,NBKFELJD_04161,Accessory
Acinetobacter_D4,qacE,MBMGJOKJ_00044,Accessory
Acinetobacter_D4,ant(3'')-Ia,NA,Unknown
Acinetobacter_D4,aph(3'')-Ib,MBMGJOKJ_00046,Accessory
Acinetobacter_D4,aph(6)-Id,MBMGJOKJ_00047,Accessory
Acinetobacter_D4,ant(2'')-Ia,MBMGJOKJ_00049,Accessory
Acinetobacter_D4,qacE,MBMGJOKJ_00050,Accessory
Acinetobacter_D4,sul1,MBMGJOKJ_00051,Accessory
Acinetobacter_D4,blaPER-1,MBMGJOKJ_00055,Accessory
Acinetobacter_D4,aadA2,NA,Unknown
Acinetobacter_D4,qacE,MBMGJOKJ_00069,Accessory
Acinetobacter_D4,sul1,MBMGJOKJ_00070,Accessory
Acinetobacter_D4,ant(3'')-IIa,MBMGJOKJ_00240,Core
Acinetobacter_D4,aph(3')-Ia,MBMGJOKJ_00319,Accessory
Acinetobacter_D4,blaOXA-64,MBMGJOKJ_01746,Core
Acinetobacter_D4,blaADC-26,MBMGJOKJ_02898,Core
Acinetobacter_D4,sul2,MBMGJOKJ_04072,Accessory
Acinetobacter_D4,aph(6)-Id,MBMGJOKJ_04076,Accessory
Acinetobacter_D4,aph(3'')-Ib,MBMGJOKJ_04077,Accessory
Acinetobacter_AC1633,blaADC-50,CLCGKAGN_00206,Core
Acinetobacter_AC1633,blaOXA,CLCGKAGN_01334,Core
Acinetobacter_AC1633,ant(3'')-IIa,CLCGKAGN_03103,Core
Acinetobacter_AC1633,aac(3)-IId,CLCGKAGN_04196,Accessory
Acinetobacter_AC1633,sul2,CLCGKAGN_04201,Accessory
Acinetobacter_AC1633,blaNDM-1,CLCGKAGN_04261,Accessory
Acinetobacter_AC1633,ble,CLCGKAGN_04262,Accessory
Acinetobacter_AC1633,aph(3'')-Ib,CLCGKAGN_04331,Accessory
Acinetobacter_AC1633,aph(6)-Id,CLCGKAGN_04332,Accessory
Acinetobacter_AC1633,blaOXA-58,NA,Unknown
Acinetobacter_AC1633,msr(E),CLCGKAGN_04353,Accessory
Acinetobacter_AC1633,mph(E),CLCGKAGN_04354,Accessory
Acinetobacter_AC1633,tet(39),CLCGKAGN_04360,Accessory
Acinetobacter_AB17,sul2,PPMDFBEA_00108,Accessory
Acinetobacter_AB17,tet(B),PPMDFBEA_00110,Accessory
Acinetobacter_AB17,mph(E),PPMDFBEA_00120,Accessory
Acinetobacter_AB17,msr(E),PPMDFBEA_00121,Accessory
Acinetobacter_AB17,armA,PPMDFBEA_00124,Accessory
Acinetobacter_AB17,sul1,PPMDFBEA_00128,Accessory
Acinetobacter_AB17,qacEdelta1,PPMDFBEA_00129,Accessory
Acinetobacter_AB17,cmlA5,PPMDFBEA_00130,Accessory
Acinetobacter_AB17,arr-2,PPMDFBEA_00131,Accessory
Acinetobacter_AB17,sul2,PPMDFBEA_00145,Accessory
Acinetobacter_AB17,dfrA45,NA,Unknown
Acinetobacter_AB17,aph(6)-Id,NA,Unknown
Acinetobacter_AB17,dfrA1,PPMDFBEA_00157,Accessory
Acinetobacter_AB17,sat2,PPMDFBEA_00158,Accessory
Acinetobacter_AB17,aadA1,PPMDFBEA_00159,Accessory
Acinetobacter_AB17,aph(3')-VIa,PPMDFBEA_00627,Accessory
Acinetobacter_AB17,blaADC-191,PPMDFBEA_01194,Core
Acinetobacter_AB17,aadA1,PPMDFBEA_01845,Accessory
Acinetobacter_AB17,sat2,PPMDFBEA_01846,Accessory
Acinetobacter_AB17,dfrA1,PPMDFBEA_01847,Accessory
Acinetobacter_AB17,blaOXA-69,PPMDFBEA_02227,Core
Acinetobacter_AB17,dfrA1,PPMDFBEA_02353,Accessory
Acinetobacter_AB17,sat2,PPMDFBEA_02354,Accessory
Acinetobacter_AB17,aadA1,PPMDFBEA_02355,Accessory
Acinetobacter_AB17,blaOXA-23,PPMDFBEA_02955,Accessory
Acinetobacter_AB17,blaOXA-23,PPMDFBEA_03062,Accessory
Acinetobacter_AB17,aac(3)-Ia,PPMDFBEA_03810,Accessory
Acinetobacter_AB17,aadA1,NA,Unknown
Acinetobacter_AB17,qacEdelta1,PPMDFBEA_03813,Accessory
Acinetobacter_AB17,sul1,PPMDFBEA_03814,Accessory
Acinetobacter_AB17,aph(3')-Ia,PPMDFBEA_03825,Accessory
Acinetobacter_AB17,ant(3'')-IIa,PPMDFBEA_03898,Core
Acinetobacter_6080,blaOXA,NFEKCGNK_00797,Accessory
Acinetobacter_6080,blaOXA-23,NFEKCGNK_00806,Accessory
Acinetobacter_6080,blaOXA-23,NFEKCGNK_00816,Accessory
Acinetobacter_6080,blaOXA-66,NFEKCGNK_02087,Core
Acinetobacter_6080,armA,NFEKCGNK_02607,Accessory
Acinetobacter_6080,sul1,NFEKCGNK_02610,Accessory
Acinetobacter_6080,qacEdelta1,NFEKCGNK_02611,Accessory
Acinetobacter_6080,aadA1,NA,Unknown
Acinetobacter_6080,catB8,NFEKCGNK_02613,Accessory
Acinetobacter_6080,aac(6')-Ib',NFEKCGNK_02614,Accessory
Acinetobacter_6080,aph(3')-Ia,NFEKCGNK_02617,Accessory
Acinetobacter_6080,blaADC-30,NFEKCGNK_02853,Core
Acinetobacter_6080,sul2,NFEKCGNK_03952,Accessory
Acinetobacter_6080,ant(3'')-IIa,NFEKCGNK_04049,Core
Acinetobacter_XH1056,ant(3'')-IIa,JNHBBJDM_00136,Core
Acinetobacter_XH1056,blaOXA-23,JNHBBJDM_01012,Accessory
Acinetobacter_XH1056,blaOXA-68,JNHBBJDM_01783,Core
Acinetobacter_XH1056,mph(E),JNHBBJDM_02255,Accessory
Acinetobacter_XH1056,msr(E),JNHBBJDM_02256,Accessory
Acinetobacter_XH1056,armA,JNHBBJDM_02259,Accessory
Acinetobacter_XH1056,sul1,JNHBBJDM_02263,Accessory
Acinetobacter_XH1056,qacE,NA,Unknown
Acinetobacter_XH1056,blaPER-1,JNHBBJDM_02270,Accessory
Acinetobacter_XH1056,sul1,JNHBBJDM_02273,Accessory
Acinetobacter_XH1056,qacEdelta1,JNHBBJDM_02274,Accessory
Acinetobacter_XH1056,aadA1,NA,Unknown
Acinetobacter_XH1056,cmlA1,JNHBBJDM_02276,Accessory
Acinetobacter_XH1056,aadA2,JNHBBJDM_02277,Accessory
Acinetobacter_XH1056,blaCARB-2,JNHBBJDM_02278,Accessory
Acinetobacter_XH1056,ere(B),JNHBBJDM_02281,Accessory
Acinetobacter_XH1056,blaADC-76,JNHBBJDM_02949,Core
Acinetobacter_XH1056,sul2,JNHBBJDM_03061,Accessory
Acinetobacter_XH1056,tet(B),JNHBBJDM_03063,Accessory
Acinetobacter_XH1056,aph(6)-Id,JNHBBJDM_03068,Accessory
Acinetobacter_XH1056,aph(3'')-Ib,JNHBBJDM_03069,Accessory
Acinetobacter_7804,ant(3'')-IIa,OHEDLJHM_00122,Core
Acinetobacter_7804,aph(3')-VIa,OHEDLJHM_01384,Accessory
Acinetobacter_7804,blaADC,OHEDLJHM_01416,Core
Acinetobacter_7804,blaOXA-64,OHEDLJHM_02595,Core
Acinetobacter_7804,blaOXA,NA,Unknown
Acinetobacter_7804,sul2,OHEDLJHM_04169,Accessory
Acinetobacter_7804,aph(6)-Id,OHEDLJHM_04177,Accessory
Acinetobacter_7804,aph(3'')-Ib,OHEDLJHM_04178,Accessory
Acinetobacter_MRSN_58,ant(3'')-IIa,OLNMEJKE_00164,Core
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00238,Accessory
Acinetobacter_MRSN_58,aac(3)-Ia,OLNMEJKE_00241,Accessory
Acinetobacter_MRSN_58,aadA1,NA,Unknown
Acinetobacter_MRSN_58,qacEdelta1,OLNMEJKE_00244,Accessory
Acinetobacter_MRSN_58,sul1,OLNMEJKE_00245,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00911,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00915,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00919,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00923,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00927,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00931,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00935,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00939,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00943,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00947,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00951,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00955,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00959,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00963,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00967,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00971,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00975,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00979,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00983,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00987,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00991,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00995,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_00999,Accessory
